Title,Algorithm Agent 1,Algorithm Agent 2,Heuristic Agent 1,Heuristic Agent 2,Max Depth Agent 1,Number CutOff Agent 1,Number of l Agent 1,Max Depth Agent 2,Number CutOff Agent 2,Number of l Agent 2,OUTCOME,Winner,Total Time,AVG Time Agent 1,AVG Time Agent 2,Number of Moves Agent 1,Number of Moves Agent 2,States Evaluated Agent 1,States Evaluated Agent 2,Pruning carried out Agent 1,Pruning carried out Agent 2,States evaluated H0 Agent 1,States evaluated H0 Agent 2,Pruning H0 carried out Agent 1,Pruning H0 carried out Agent 2,States evaluated Hl Agent 1,States evaluated Hl Agent 2,Pruning Hl carried out Agent 1,Pruning Hl carried out Agent 2
min_max_alpha_beta_pruning_hl_cut max_depth=3 k=5 l=2 vs min_max_alpha_beta_pruning_hl_cut max_depth=3 k=5 l=2,MinMax Alpha Beta Pruning Hl CutOff,MinMax Alpha Beta Pruning Hl CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,3,5,2,3,5,2,CHECKMATE,Black,26616.84ms,338.93ms,467.49ms,33,33,2920,2675,346,464,16711,22831,12628,18465,13635,14656,365,766
min_max_alpha_beta_pruning_hl_cut max_depth=3 k=5 l=2 vs min_max_alpha_beta_pruning_hl_cut max_depth=4 k=5 l=2,MinMax Alpha Beta Pruning Hl CutOff,MinMax Alpha Beta Pruning Hl CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,3,5,2,4,5,2,SEVENTYFIVE_MOVES,,334068.54ms,466.52ms,1348.81ms,184,184,15720,63037,1526,6573,56883,227213,36025,144387,38057,36294,1209,2014
min_max_alpha_beta_pruning_hl_cut max_depth=4 k=5 l=2 vs min_max_alpha_beta_pruning_hl_cut max_depth=3 k=5 l=2,MinMax Alpha Beta Pruning Hl CutOff,MinMax Alpha Beta Pruning Hl CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,4,5,2,3,5,2,CHECKMATE,Black,59083.67ms,1023.45ms,383.21ms,42,42,13368,3687,1781,557,90980,24073,71587,18383,22050,20942,665,689
min_max_alpha_beta_pruning_hl_cut max_depth=4 k=5 l=2 vs min_max_alpha_beta_pruning_hl_cut max_depth=4 k=5 l=2,MinMax Alpha Beta Pruning Hl CutOff,MinMax Alpha Beta Pruning Hl CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,4,5,2,4,5,2,FIVEFOLD_REPETITION,,207182.49ms,1772.09ms,1680.80ms,60,60,19722,23775,2930,3007,154544,161020,124654,127609,31998,27079,1110,767
min_max_alpha_beta_pruning_hl_cut max_depth=3 k=5 l=3 vs min_max_alpha_beta_pruning_hl_cut max_depth=3 k=5 l=3,MinMax Alpha Beta Pruning Hl CutOff,MinMax Alpha Beta Pruning Hl CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,3,5,3,3,5,3,CHECKMATE,Black,4586132.50ms,1025.19ms,10948.64ms,383,383,4517,11645,1496,4710,77297,260490,68101,231220,262020,2697872,55610,106826
min_max_alpha_beta_pruning_hl_cut max_depth=3 k=5 l=3 vs min_max_alpha_beta_pruning_hl_cut max_depth=4 k=5 l=3,MinMax Alpha Beta Pruning Hl CutOff,MinMax Alpha Beta Pruning Hl CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,3,5,3,4,5,3,CHECKMATE,Black,1258624.10ms,1194.32ms,5066.60ms,201,201,4868,17999,985,3458,39692,147983,31485,117801,243988,645620,34897,42599
min_max_alpha_beta_pruning_hl_cut max_depth=4 k=5 l=3 vs min_max_alpha_beta_pruning_hl_cut max_depth=3 k=5 l=3,MinMax Alpha Beta Pruning Hl CutOff,MinMax Alpha Beta Pruning Hl CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,4,5,3,3,5,3,CHECKMATE,Black,1109962.76ms,1914.36ms,4021.05ms,187,187,32146,11424,4796,1847,193724,77350,145628,59449,266944,496529,31620,34587
min_max_alpha_beta_pruning_hl_cut max_depth=4 k=5 l=3 vs min_max_alpha_beta_pruning_hl_cut max_depth=4 k=5 l=3,MinMax Alpha Beta Pruning Hl CutOff,MinMax Alpha Beta Pruning Hl CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,4,5,3,4,5,3,CHECKMATE,Black,1140042.33ms,6733.92ms,11653.67ms,62,62,18175,17467,2356,2547,148964,122907,122421,96166,295933,644594,35334,37217
min_max_alpha_beta_pruning_hl_cut max_depth=3 k=3 l=2 vs min_max_alpha_beta_pruning_hl_cut max_depth=3 k=5 l=2,MinMax Alpha Beta Pruning Hl CutOff,MinMax Alpha Beta Pruning Hl CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,3,3,2,3,5,2,CHECKMATE,White,48299.97ms,426.46ms,459.96ms,55,54,1596,3861,191,670,19082,28268,17281,22107,39287,31078,1914,593
min_max_alpha_beta_pruning_hl_cut max_depth=3 k=3 l=2 vs min_max_alpha_beta_pruning_hl_cut max_depth=4 k=5 l=2,MinMax Alpha Beta Pruning Hl CutOff,MinMax Alpha Beta Pruning Hl CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,3,3,2,4,5,2,CHECKMATE,White,53666.30ms,378.18ms,1524.83ms,29,28,835,10243,94,1230,10664,100954,9739,86777,21250,18748,962,355
min_max_alpha_beta_pruning_hl_cut max_depth=4 k=3 l=2 vs min_max_alpha_beta_pruning_hl_cut max_depth=3 k=5 l=2,MinMax Alpha Beta Pruning Hl CutOff,MinMax Alpha Beta Pruning Hl CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,4,3,2,3,5,2,CHECKMATE,Black,30131.44ms,598.02ms,560.71ms,26,26,1846,2174,283,359,21490,17756,19226,14298,16505,16718,654,458
min_max_alpha_beta_pruning_hl_cut max_depth=4 k=3 l=2 vs min_max_alpha_beta_pruning_hl_cut max_depth=4 k=5 l=2,MinMax Alpha Beta Pruning Hl CutOff,MinMax Alpha Beta Pruning Hl CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,4,3,2,4,5,2,CHECKMATE,White,215182.08ms,601.73ms,1705.45ms,94,93,7115,33538,916,3929,56289,241845,47856,195971,44153,39160,2176,831
min_max_alpha_beta_pruning_hl_cut max_depth=3 k=3 l=3 vs min_max_alpha_beta_pruning_hl_cut max_depth=3 k=5 l=3,MinMax Alpha Beta Pruning Hl CutOff,MinMax Alpha Beta Pruning Hl CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,3,3,3,3,5,3,CHECKMATE,Black,378455.77ms,4241.87ms,10313.97ms,26,26,754,1992,87,428,7041,26612,6201,23064,142058,365241,18271,19476
min_max_alpha_beta_pruning_hl_cut max_depth=3 k=3 l=3 vs min_max_alpha_beta_pruning_hl_cut max_depth=4 k=5 l=3,MinMax Alpha Beta Pruning Hl CutOff,MinMax Alpha Beta Pruning Hl CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,3,3,3,4,5,3,CHECKMATE,Black,142967.78ms,2922.70ms,5487.05ms,17,17,469,4906,67,818,4140,37776,3586,30006,80135,126271,8762,9260
min_max_alpha_beta_pruning_hl_cut max_depth=4 k=3 l=3 vs min_max_alpha_beta_pruning_hl_cut max_depth=3 k=5 l=3,MinMax Alpha Beta Pruning Hl CutOff,MinMax Alpha Beta Pruning Hl CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,4,3,3,3,5,3,CHECKMATE,Black,1413181.54ms,946.45ms,6530.39ms,189,189,4713,7568,750,1232,52091,77471,46365,65761,148954,828620,26351,35133
min_max_alpha_beta_pruning_hl_cut max_depth=4 k=3 l=3 vs min_max_alpha_beta_pruning_hl_cut max_depth=4 k=5 l=3,MinMax Alpha Beta Pruning Hl CutOff,MinMax Alpha Beta Pruning Hl CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,4,3,3,4,5,3,FIVEFOLD_REPETITION,,437384.41ms,2682.93ms,5220.57ms,56,55,3760,14691,593,2082,37759,95188,33102,73482,177686,363910,19749,20927
min_max_alpha_beta_pruning_hl_cut max_depth=4 k=5 l=2 vs min_max_alpha_beta_pruning_hl_cut max_depth=4 k=5 l=3,MinMax Alpha Beta Pruning Hl CutOff,MinMax Alpha Beta Pruning Hl CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,4,5,2,4,5,3,CHECKMATE,White,169348.18ms,1113.27ms,4313.60ms,32,31,8301,11415,1290,1272,71368,122820,58519,107374,28543,126959,1226,20721
min_max_alpha_beta_pruning_hl_cut max_depth=4 k=5 l=3 vs min_max_alpha_beta_pruning_hl_cut max_depth=4 k=5 l=3,MinMax Alpha Beta Pruning Hl CutOff,MinMax Alpha Beta Pruning Hl CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,4,5,3,4,5,3,CHECKMATE,Black,1143032.63ms,7155.60ms,11280.24ms,62,62,18175,17467,2356,2547,148964,122907,122421,96166,295933,644594,35334,37217
min_max_alpha_beta_pruning_hl_cut max_depth=5 k=5 l=2 vs min_max_alpha_beta_pruning_hl_cut max_depth=5 k=5 l=2,MinMax Alpha Beta Pruning Hl CutOff,MinMax Alpha Beta Pruning Hl CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,5,5,2,5,5,2,CHECKMATE,Black,254844.40ms,5328.36ms,5290.09ms,24,24,21571,24140,4996,5700,232967,243064,193228,198502,14968,14704,487,440
min_max_alpha_beta_pruning_hl_cut max_depth=6 k=5 l=2 vs min_max_alpha_beta_pruning_hl_cut max_depth=5 k=5 l=2,MinMax Alpha Beta Pruning Hl CutOff,MinMax Alpha Beta Pruning Hl CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,6,5,2,5,5,2,CHECKMATE,White,507903.08ms,7705.56ms,2102.09ms,52,51,115812,36620,23250,7478,793773,246628,601544,184119,18388,15453,907,409
min_max_alpha_beta_pruning_hl_cut max_depth=5 k=5 l=2 vs min_max_alpha_beta_pruning_hl_cut max_depth=6 k=5 l=2,MinMax Alpha Beta Pruning Hl CutOff,MinMax Alpha Beta Pruning Hl CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,5,5,2,6,5,2,CHECKMATE,White,1294699.54ms,6812.01ms,22458.08ms,45,44,51284,169229,10100,32937,555793,1793652,468689,1512497,22638,22837,1190,432
min_max_alpha_beta_pruning_hl_cut max_depth=6 k=5 l=2 vs min_max_alpha_beta_pruning_hl_cut max_depth=6 k=5 l=2,MinMax Alpha Beta Pruning Hl CutOff,MinMax Alpha Beta Pruning Hl CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,6,5,2,6,5,2,CHECKMATE,White,1805126.84ms,12626.91ms,20567.40ms,55,54,143416,215796,29365,43247,1345614,2228881,1098134,1867295,32582,29912,1506,634
min_max_alpha_beta_pruning_hl_cut max_depth=7 k=5 l=2 vs min_max_alpha_beta_pruning_hl_cut max_depth=7 k=5 l=2,MinMax Alpha Beta Pruning Hl CutOff,MinMax Alpha Beta Pruning Hl CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,7,5,2,7,5,2,CHECKMATE,Black,2493912.13ms,34141.44ms,21278.37ms,45,45,367592,258506,92158,71351,4007867,2474150,3312270,1953361,24988,25552,1118,552
min_max_alpha_beta_pruning_hl_cut max_depth=8 k=3 l=2 vs min_max_alpha_beta_pruning_hl_cut max_depth=8 k=3 l=2,MinMax Alpha Beta Pruning Hl CutOff,MinMax Alpha Beta Pruning Hl CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,8,3,2,8,3,2,CHECKMATE,Black,1343823.05ms,10801.13ms,10195.67ms,64,64,92804,106838,22476,25900,1152781,1097513,1021060,947138,26064,25859,893,1296
min_max_alpha_beta_pruning_hl_cut max_depth=9 k=3 l=2 vs min_max_alpha_beta_pruning_hl_cut max_depth=8 k=3 l=2,MinMax Alpha Beta Pruning Hl CutOff,MinMax Alpha Beta Pruning Hl CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,9,3,2,8,3,2,CHECKMATE,White,2856083.16ms,17651.79ms,8629.81ms,109,108,348279,171817,91895,40513,3698823,1764896,3195523,1526104,37503,30219,2569,784
min_max_alpha_beta_pruning_hl_cut max_depth=8 k=3 l=2 vs min_max_alpha_beta_pruning_hl_cut max_depth=9 k=3 l=2,MinMax Alpha Beta Pruning Hl CutOff,MinMax Alpha Beta Pruning Hl CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,8,3,2,9,3,2,SEVENTYFIVE_MOVES,,4833464.86ms,8244.42ms,16373.94ms,197,196,299619,578332,70340,154987,3114624,6245151,2696885,5400478,74020,52701,2929,2396
min_max_alpha_beta_pruning_hl_cut max_depth=9 k=3 l=2 vs min_max_alpha_beta_pruning_hl_cut max_depth=9 k=3 l=2,MinMax Alpha Beta Pruning Hl CutOff,MinMax Alpha Beta Pruning Hl CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,9,3,2,9,3,2,CHECKMATE,Black,1119994.20ms,17556.54ms,18572.24ms,31,31,90891,81585,25930,23183,1232041,1220419,1096005,1097147,15079,17272,526,672
min_max_alpha_beta_pruning_hl_cut max_depth=9 k=3 l=2 vs min_max_alpha_beta_pruning_hl_cut max_depth=10 k=3 l=2,MinMax Alpha Beta Pruning Hl CutOff,MinMax Alpha Beta Pruning Hl CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,9,3,2,10,3,2,CHECKMATE,Black,3075336.30ms,17599.17ms,38316.00ms,55,55,191590,457841,53083,126200,2614068,6021071,2330919,5348263,30203,29874,1206,1048
min_max_alpha_beta_pruning_hl_cut max_depth=10 k=3 l=2 vs min_max_alpha_beta_pruning_hl_cut max_depth=9 k=3 l=2,MinMax Alpha Beta Pruning Hl CutOff,MinMax Alpha Beta Pruning Hl CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,10,3,2,9,3,2,SEVENTYFIVE_MOVES,,3508353.95ms,13537.07ms,5878.41ms,181,180,666741,325113,181898,90454,5926868,2767842,4948513,2288049,48914,43200,3689,1022
min_max_alpha_beta_pruning_hl_cut max_depth=10 k=3 l=2 vs min_max_alpha_beta_pruning_hl_cut max_depth=10 k=3 l=2,MinMax Alpha Beta Pruning Hl CutOff,MinMax Alpha Beta Pruning Hl CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,10,3,2,10,3,2,CHECKMATE,White,4227955.24ms,20199.39ms,21878.07ms,101,100,523461,558973,146299,146019,5859323,6525733,5080833,5722693,43627,36196,2746,774
